query_name,game_key,app_id,game_title,mature,early_access,release_date,tags,history_rows,latest_prices_rows,status,error
0 World TD,1672480,1672480,0 World TD,False,False,,"Strategy, Tower Defense, Base Building, Real Time Tactics, Grid-Based Movement",0,0,ok,
0.0035％,1003590,1003590,Tetris® Effect: Connected,False,False,2019-07-23,"Puzzle, Multiplayer, Family Friendly, Singleplayer, Competitive",179,0,ok,
0.33333333333,4142270,4142270,0.33333333333,False,False,2026-02-02,"Casual, Simulation, Logic, Minimalist, Puzzle",1,0,ok,
001 Earth,1860930,1860930,001 Earth,False,True,2022-03-31,"Adventure, Survival, Indie, Action, Casual",6,0,ok,
007 First Light,3768760,3768760,007 First Light,False,False,2026-05-27,"Singleplayer, Action, Adventure, Stealth, Action-Adventure",20,0,ok,
0101,2930280,2930280,0101,False,False,2024-06-13,"Casual, Arcade, 2D, Dark, Education",1,0,ok,
027,2706960,2706960,027,False,False,2023-12-31,"Adventure, Survival Horror, Horror, Strategy, First-Person",2,0,ok,
03.04,430410,430410,Memoranda,False,False,2017-01-25,"Adventure, Indie, Point & Click, Female Protagonist, Hand-drawn",342,0,ok,
07GORILLAS,2627570,2627570,Goofy Gorillas,False,False,2023-12-01,"Action, Casual, Multiplayer, PvP, 3D Platformer",28,0,ok,
0927,3164120,3164120,0927,False,False,2024-08-29,"Casual, Exploration, 3D, Singleplayer, Puzzle",24,0,ok,
0Gravity,1101290,1101290,0Gravity,False,True,2019-07-27,"Indie, Early Access, Casual, Action, Gore",2,0,ok,
0RBITALIS,278440,278440,0RBITALIS,False,False,2015-05-28,"Simulation, Indie, Puzzle, Space, Physics",165,0,ok,
0X13,3946730,3946730,0X13,False,True,,"Action, Adventure, RPG, 3D Fighter, Action RPG",0,0,ok,
0th floor. - The cursed elevator to floor zero -,2885400,2885400,0th floor.,False,False,2024-04-03,"Adventure, Simulation, Realistic, Horror, Psychological Horror",14,0,ok,
0xFF,2218760,2218760,0xFF,False,False,2023-03-28,"Exploration, Sci-fi, Flight, Atmospheric, Minimalist",12,0,ok,
0°N 0°W,0°N 0°W,no_search_result,No game matched this search term
